,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu,tên dách
0,,,,,,,,,,,,,,,,,,,
1,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21379.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs
2,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21372.jpg,Tiếng Việt,NXB Văn Hóa - Văn Nghệ,"
Ngay từ khi bắt đầu bạn phải xác định cho mình những bước chuẩn bị chính xác và cẩn thận nhất. Chỉ có như vậy học tiếng Trung mới trở nên dễ dàng và hiệu quả. Nếu như bạn còn đang hoang mang khi không biết bắt đầu từ đâu? phương hướng đi như thế nào, vậy thì cuốn sách này có thể giúp bạn học tốt tiếng Trung nhất. 
",60.000 đ,,,,,,,,,,,,,Tiếng Việt Cho Người Hoa T2 + CD
3,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_196519.jpg,Tiếng Việt,NXB Thế Giới,"
Ngoài các phần giới thiệu hệ thống nguyên âm, phụ âm, thanh điệu tiếng Việt, 3 bài ôn tập, 5 bài văn hóa, sách gồm 16 bài học với các chủ đề quen thuộc trong cuộc sống như: làm quen, mua sắm, thời tiết, chỉ đường…

Cấu trúc một bài học bao gồm hội thoại – từ vựng – ngữ pháp và ngữ âm. Đây là những nội dung quan trọng giúp người học tiếp cận và làm quen những vấn đề cơ bản của một ngôn ngữ mới. Từ cấu trúc bài học giáo viên sẽ có những xử lí linh hoạt với từng đối tượng học để vừa đảm bảo kiến thức chuẩn vừa phát huy khả năng sử dụng ngôn ngữ của học viên.

Hệ thống các bài ôn tập (sau mỗi 5 bài học) nhằm giúp người học củng cố lại kiến thức. Từ đó giáo viên có thể mở rộng thêm các ngữ cảnh mới để học viên sử dụng nhuần nhuyễn nội dung đã học.

Các bài giới thiệu văn hóa mang đến cho người nước ngoài những trải nghiệm đầu tiên về đất nước Việt Nam khi học tiếng Việt. Các bài viết đều ngắn gọn, ngôn từ được sử dụng đơn giản có kèm hình ảnh nên dễ hiểu, sinh động. 
",336.000 đ,,,,,,,,,,,,,Tiếng Việt 123 (Tiếng Việt Cho Người Nước Ngoài) - Trình Độ B1
4,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21378.jpg,Tiếng Việt,NXB Văn Hóa Sài Gòn,"
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, thuộc bộ sách ""Vietnamese for foreingers"" gồm có 4 tập. Mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:
Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers), Hoa buồn (Sad Flowers), Bàn tay tình tự (Lovely Hands), Dung nhan (A portrail) [poetry], From the Motherland, A good Hearted Friend, In the New Land (short stories), and Vietnamese Press in Australia.
He is also editor of Hien Dien Literature Magazine (Vietnam) and Vietnam Times Newspaper (Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991.
Xin trân trọng giới thiệu. 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 3 + 2CDs
5,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001519_1.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt - Vietnamese For Foreigners 1 + 2CDs
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, là tập 1 trong bộ sách gồm có 4 tập, mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers),Hoa buồn(Sad Flowers),Bàn tay tình tự(Lovely Hands),Dung nhan(A portrail) [poetry],From the Motherland, A good Hearted Friend, In the New Land(short stories), andVietnamese Press in Australia.
He is also editor ofHien Dien Literature Magazine(Vietnam) andVietnam Times Newspaper(Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991. 
",75.000 đ,,,,,,,,,,,,,Tiếng Việt -  Vietnamese For Foreigners 1 + 2CDs
6,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_1568.jpg,Tiếng Việt,NXB Thế Giới,"
Tiếng Việt Trình Độ A - Tập 1 do GS.TS Đoàn Thiện Thuật làm chủ biên. Lý do chúng tôi chọn cuốn sách này làm cuốn sách đầu tiên giới thiệu tới quý độc giả là vì đây là một cuốn sách có cách bố cục khá chặt chẽ, khoa học. Cách trình bày cũng tương đối dễ hiểu, dễ xem. Và đây cũng là một trong những cuốn sách luôn nằm trong tủ sách của trung tâm 123VIETNAMESE, được rất nhiều các thầy cô giáo tại đây lựa chọn làm giáo trình giảng dạy. Sách Tiếng Việt được biên soạn theo chín chủ đề. Mỗi chủ đề có ba bài và sau sáu bài có một bài ôn tập. Mỗi bài góp phần mở rộng chủ đề, nhưng nó có chủ điểm ngữ pháp và ngữ âm riêng. Câu chìa khoá về ngữ pháp được lấy làm tên bài. Do vậy, mới nhìn  qua và căn cứ vào tên bài, người đọc dễ có cảm tưởng là bài viết không ăn nhập với chủ đề hoặc xa đề, nhưng thực ra không phải như vậy.
Với chủ trương đề cao tính thiết thực và tính hiệu quả trong giảng dạy mà trong Bài học tại lớp chúng tôi chỉ cho những bài luyện và những mẫu câu, tức những công thức ngữ pháp được cụ thể hoá cho dễ nhớ, chứ không miêu tả lý thuyết dài dòng.
Việc đơn giản hoá như thế có thể làm cho người dạy hay người học khó hiểu hoặc hiểu không đầy đủ. Chúng tôi có một phần gọi là Ghi chú để ai thấy cần thiết thì xem thêm.
Bài tập ở nhà gồm có những bài nghe ghi trên băng từ và bài làm viết trên giấy. Băng này không chỉ giúp người học rèn luyện kỹ năng nghe hiểu mà còn tập đọc cho đúng. Do vậy băng ghi cả bài nghe lẫn bài đọc.
Để tự kiểm tra kết quả bài tập ở nhà đã có phần đáp án.
Trong học tập ở bất cứ bộ môn gì, thì bao giờ ngoài giáo trình chính thức thường phải có sách công cụ để người học tham khảo. Ở đây phải là sách Ngữ Pháp và Từ điển. Hai phần ghi chú và Bảng từ đóng vai trò của những sách công cụ. Tuy nhiên chúng được viết rất đơn giản. Phần ghi chú thì Ghi chú ngữ âm trình bày rất ngắn gọn toàn cảnh cấu trúc âm vị học tiếng Việt. Còn ghi chú ngữ pháp chỉ làm rõ thêm những điều đã dạy ở phần Bài học trong sách. Bảng từ chỉ cung cấp những từ gặp trong sách và với nghĩa trong bài. Nghĩa mỗi từ không đầy đủ như trong từ điển và thậm chí còn khác nữa, đó là nghĩa của một từ trong tình huống cụ thể (hay còn gọi là nghĩa dụng học) 
",136.000 đ,,,,,,,,,,,,,Click Tiếng Việt Trình Độ A - Tập 1
7,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001564_1.jpg,Tiếng Việt,NXB Văn Hóa - Văn Nghệ,"
Tiếng Việt Cho Người Trung Quốc T1 + CD
Điểm mạnh của giáo trình này là song ngữ, rất dễ học, dễ hiểu. Nội dung đầy đủ các câu hội thoại từ đơn giản đến phức tạp giúp người học áp dụng và giao tiếp dễ dàng hơn trong thực tế 
",55.000 đ,,,,,,,,,,,,,Tiếng Việt Cho Người Trung Quốc T1 + CD
8,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/c/5/c586181c586cbf32e67d.jpg,Tiếng Việt,NXB Thế Giới,"
		    Tiếng Việt 123 (Tiếng Việt Dành Cho Người Nhật) - Tái Bản 2019		    
",273.000 đ,,,,,,,,,,,,,Tiếng Việt 123 (Tiếng Việt Dành Cho Người Nhật) - Tái Bản 2019
9,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21375.jpg,Tiếng Việt,Văn Hóa Văn Nghệ,"
Tiếng Việt Hiện Đại - Modern Vietamese Stage 1 + 3CDs 
",103.000 đ,,,,,,,,,,,,,Tiếng Việt Hiện Đại - Modern Vietamese Stage 1 + 3CDs
